id,participant_id,timestamp,pagetime,item,action,message,combined,combined_num
4657,220,2017-08-25 21:29:36,0,next_button,click,,next_button click,14
4658,220,2017-08-25 21:29:46,0,next_button,click,,next_button click,14
4659,220,2017-08-25 21:29:50,0,next_button,click,,next_button click,14
4660,220,2017-08-25 21:29:55,0,next_button,click,,next_button click,14
4661,220,2017-08-25 21:30:06,0,next_button,click,,next_button click,14
4662,220,2017-08-25 21:30:14,0,next_button,click,,next_button click,14
4663,220,2017-08-25 21:30:17,0,next_button,click,,next_button click,14
4664,220,2017-08-25 21:30:21,0,back_button,rewind,,back_button rewind,15
4665,220,2017-08-25 21:30:22,0,back_button,rewind,,back_button rewind,15
4666,220,2017-08-25 21:30:23,0,back_button,rewind,,back_button rewind,15
4667,220,2017-08-25 21:30:35,0,back_button,rewind,,back_button rewind,15
4668,220,2017-08-25 21:30:39,0,back_button,rewind,,back_button rewind,15
4669,220,2017-08-25 21:30:40,0,back_button,rewind,,back_button rewind,15
4670,220,2017-08-25 21:30:41,0,back_button,rewind,,back_button rewind,15
4671,220,2017-08-25 21:30:43,0,back_button,rewind,,back_button rewind,15
4672,220,2017-08-25 21:30:45,0,back_button,rewind,,back_button rewind,15
4673,220,2017-08-25 21:30:52,0,next_button,click,,next_button click,14
4674,220,2017-08-25 21:30:57,0,back_button,rewind,,back_button rewind,15
4675,220,2017-08-25 21:30:58,0,back_button,rewind,,back_button rewind,15
4676,220,2017-08-25 21:30:59,0,back_button,rewind,,back_button rewind,15
4677,220,2017-08-25 21:31:02,0,back_button,rewind,,back_button rewind,15
4678,220,2017-08-25 21:31:18,0,next_button,click,,next_button click,14
4679,220,2017-08-25 21:31:20,0,next_button,click,,next_button click,14
4680,220,2017-08-25 21:31:21,0,next_button,click,,next_button click,14
4681,220,2017-08-25 21:31:22,0,next_button,click,,next_button click,14
4682,220,2017-08-25 21:31:29,0,next_button,click,,next_button click,14
4683,220,2017-08-25 21:31:38,0,cardView,toggle,,cardView toggle,11
4684,220,2017-08-25 21:31:44,0,next_button,click,,next_button click,14
4685,220,2017-08-25 21:31:47,0,back_button,rewind,,back_button rewind,15
4686,220,2017-08-25 21:31:49,0,cardView,toggle,,cardView toggle,11
4687,220,2017-08-25 21:31:53,0,back_button,rewind,,back_button rewind,15
4688,220,2017-08-25 21:31:54,0,back_button,rewind,,back_button rewind,15
4689,220,2017-08-25 21:31:54,0,back_button,rewind,,back_button rewind,15
4690,220,2017-08-25 21:31:54,0,back_button,rewind,,back_button rewind,15
4691,220,2017-08-25 21:31:54,0,back_button,rewind,,back_button rewind,15
4692,220,2017-08-25 21:31:55,0,back_button,rewind,,back_button rewind,15
